x1,y1,z1,x2,y2,z2
1.47001,26.812,4.90628,7.1563,-0.801,3.1449
2.03114,-0.801,4.86357,7.98118,26.812,2.7068
7.77778,26.812,5.17962,7.53443,-0.801,2.81013
3.04391,26.812,4.17281,3.16558,-0.801,3.56872
7.63159,-0.801,4.56241,3.81585,26.812,4.31893
1.76065,-0.801,3.79119,6.79282,26.812,3.2052
6.05671,-0.801,5.09195,6.38998,26.812,3.42257
1.29442,26.812,3.32048,6.56665,-0.801,2.86769
3.65108,26.812,3.52884,2.24036,-0.801,2.78421
1.56847,26.812,5.20237,7.54471,-0.801,2.96813
1.67395,26.812,5.04469,5.28651,-0.801,2.63945
3.1427,-0.801,3.35506,0.866912,26.812,3.33836
5.73597,-0.801,4.94132,7.49585,26.812,3.12389
5.83013,26.812,4.24768,6.06403,-0.801,4.14896
1.43548,-0.801,5.16588,7.841,26.812,3.59725
6.73832,-0.801,5.19678,7.20784,26.812,4.41933
6.85892,-0.801,4.52571,5.63995,26.812,2.66151
3.50366,-0.801,4.77847,8.11892,26.812,3.17627
5.95208,-0.801,3.93182,8.13852,26.812,2.92203
1.25341,26.812,5.00354,7.96497,-0.801,2.95934
0.99486,-0.801,3.69955,8.03532,26.812,2.71646
6.87119,-0.801,5.07004,5.69939,26.812,3.14968
7.76219,-0.801,4.79335,8.17936,26.812,3.52538
3.80434,26.812,5.1953,1.10487,-0.801,3.20035
5.41668,-0.801,5.13811,6.53937,26.812,3.39644
1.08973,26.812,4.3461,3.74161,-0.801,3.26281
0.84606,-0.801,5.13879,2.86445,26.812,2.82172
2.86246,-0.801,4.66639,7.56593,26.812,3.68666
2.68002,26.812,5.19565,1.45505,-0.801,2.95218
7.54003,26.812,4.94936,6.52353,-0.801,4.59409
6.97065,-0.801,5.12855,8.03847,26.812,2.93079
6.8819,-0.801,5.13382,6.35354,26.812,3.96715
2.43521,-0.801,5.03267,1.51799,26.812,2.71163
2.97718,-0.801,4.91698,7.9128,26.812,2.98597
2.10213,26.812,5.20623,6.97181,-0.801,3.04972
3.82314,26.812,3.04101,3.23878,-0.801,2.97635
1.78459,-0.801,3.6497,1.68082,26.812,3.15842
3.60044,-0.801,4.58399,3.27059,26.812,3.17843
7.43797,-0.801,3.92734,7.01899,26.812,2.6402
7.25775,-0.801,2.91527,5.78013,26.812,2.86616
5.34383,26.812,5.02171,2.0358,-0.801,3.27065
3.09706,-0.801,4.54659,1.94851,26.812,3.17062
5.24134,26.812,5.15762,2.23514,-0.801,2.69624
1.94426,26.812,5.01746,1.44114,-0.801,4.54043
1.5029,-0.801,4.82778,0.932902,26.812,3.85882
5.88843,26.812,5.0434,7.5962,-0.801,3.59426
7.39059,26.812,4.88213,7.86799,-0.801,4.69276
2.45303,26.812,5.00751,2.1014,-0.801,3.60433
1.70411,-0.801,4.33591,7.77037,26.812,3.4086
1.27148,-0.801,4.46489,1.39923,26.812,3.32962
5.69995,-0.801,5.20865,3.57594,26.812,5.17029
3.81115,26.812,4.66841,7.44195,-0.801,3.02359
2.15341,26.812,4.8078,0.820687,-0.801,3.35007
2.73779,26.812,4.34769,7.80406,-0.801,3.15551
2.56177,-0.801,4.6838,3.07737,26.812,2.6931
1.36674,26.812,5.15259,7.0292,-0.801,3.4971
6.92932,26.812,3.01516,2.25892,-0.801,2.6231
2.943,26.812,4.88903,3.63365,-0.801,2.94919
7.12013,26.812,4.59027,6.85884,-0.801,2.91376
5.62687,-0.801,4.44312,3.82779,26.812,3.2493
3.6867,26.812,4.39428,2.63033,-0.801,2.89673
1.65335,-0.801,5.17988,3.38128,26.812,4.73375
7.0369,-0.801,3.7327,1.40624,26.812,2.94837
5.30931,-0.801,4.47246,7.09204,26.812,3.1182
8.24199,-0.801,4.19934,8.00208,26.812,3.19119
2.70428,-0.801,5.05473,6.41683,26.812,2.95929
2.32025,26.812,4.74805,3.26044,-0.801,3.63544
7.84306,26.812,3.54862,7.41903,-0.801,3.14495
5.37343,26.812,5.10684,5.80718,-0.801,2.9207
7.36734,26.812,4.77278,6.71137,-0.801,4.65234
2.90801,26.812,4.0198,5.68031,-0.801,3.0392
8.19603,26.812,4.91543,7.01422,-0.801,3.98026
7.29324,26.812,3.88426,2.16062,-0.801,2.64395
6.67035,26.812,3.49882,7.03934,-0.801,2.88649
6.60145,-0.801,4.92908,6.72779,26.812,4.07786
2.68314,26.812,4.78307,3.15228,-0.801,2.67034
5.46726,-0.801,4.07622,3.04449,26.812,2.87146
0.934114,26.812,4.97445,6.09212,-0.801,3.93448
2.838,26.812,4.28629,1.66512,-0.801,3.29275
3.37299,26.812,3.85288,2.12713,-0.801,2.74578
2.67967,-0.801,3.67977,5.35451,26.812,2.80264
6.92242,-0.801,4.85691,5.84244,26.812,2.76904
6.32845,26.812,4.80032,1.16305,-0.801,2.77331
6.80737,26.812,4.47403,7.56489,-0.801,4.27192
1.00601,26.812,4.26327,5.7737,-0.801,3.39717
2.99028,26.812,4.86033,2.00436,-0.801,2.87558
2.8035,-0.801,4.56714,7.56486,26.812,3.04126
6.31666,-0.801,4.75796,6.0555,26.812,3.17869
1.38406,26.812,4.3753,7.11786,-0.801,3.22713
7.37797,26.812,4.64623,6.27941,-0.801,2.87609
3.68117,26.812,3.38356,6.71243,-0.801,3.03381
1.79761,26.812,4.48481,1.27222,-0.801,4.42459
2.84813,-0.801,5.1971,1.4993,26.812,2.78705
7.37958,-0.801,5.13728,2.29983,26.812,2.71358
7.93844,26.812,4.6128,3.52255,-0.801,3.71764
3.81923,-0.801,4.72693,6.46151,26.812,3.61653
7.31145,26.812,5.06449,5.39364,-0.801,4.07643
1.21781,26.812,4.23966,5.85039,-0.801,4.01225
3.0992,26.812,4.94938,3.76243,-0.801,3.56244
7.52822,-0.801,4.63361,7.11023,26.812,3.3411
1.09425,-0.801,3.7372,6.25058,26.812,3.20256
2.27458,-0.801,5.08472,6.78821,26.812,2.87073
5.99636,-0.801,4.1152,6.27315,26.812,3.10434
2.91196,-0.801,5.04761,2.92811,26.812,2.74085
3.7407,-0.801,5.00944,1.05494,26.812,3.41882
7.13958,26.812,5.16674,5.99149,-0.801,4.4513
5.62939,26.812,3.72383,5.8671,-0.801,2.8971
2.24209,-0.801,4.04071,1.93315,26.812,3.38091
2.89819,-0.801,4.5331,1.47615,26.812,4.34193
6.91269,26.812,3.86808,6.69512,-0.801,3.06078
5.31405,26.812,5.03634,6.23994,-0.801,3.1215
7.39925,-0.801,5.08205,7.93836,26.812,2.67742
