,x1,y1,z1,x2,y2,z2
283,11.8341,1.03286,-9.159,-1.56622,0.38651,14.913
284,-1.56622,0.38651,14.913,0.4815,-11.78048,-9.273
285,0.4815,-11.78048,-9.273,-1.56622,0.38651,14.913
286,-1.56622,0.38651,14.913,-0.59207,3.22609,-14.637
287,-0.59207,3.22609,-14.637,-1.56622,0.38651,14.913
288,-1.56622,0.38651,14.913,4.04998,11.78099,-8.355
289,4.04998,11.78099,-8.355,-1.56622,0.38651,14.913
290,-1.56622,0.38651,14.913,-3.98983,13.77553,-4.395
291,-3.98983,13.77553,-4.395,-1.56622,0.38651,14.913
292,-1.56622,0.38651,14.913,14.18715,3.99885,-2.781
293,14.18715,3.99885,-2.781,-1.56622,0.38651,14.913
294,-1.56622,0.38651,14.913,9.08431,-7.11359,-9.585
295,9.08431,-7.11359,-9.585,-1.56622,0.38651,14.913
296,-1.56622,0.38651,14.913,3.80936,14.45523,-1.239
297,3.80936,14.45523,-1.239,-1.56622,0.38651,14.913
298,-1.56622,0.38651,14.913,7.0073,13.26053,0.237
299,7.0073,13.26053,0.237,-1.56622,0.38651,14.913
300,1.46383,0.79909,14.907,10.61088,10.45806,-1.743
301,10.61088,10.45806,-1.743,1.46383,0.79909,14.907
302,1.46383,0.79909,14.907,11.8341,1.03286,-9.159
303,11.8341,1.03286,-9.159,1.46383,0.79909,14.907
304,1.46383,0.79909,14.907,0.4815,-11.78048,-9.273
305,0.4815,-11.78048,-9.273,1.46383,0.79909,14.907
306,1.46383,0.79909,14.907,-0.59207,3.22609,-14.637
307,-0.59207,3.22609,-14.637,1.46383,0.79909,14.907
308,1.46383,0.79909,14.907,4.04998,11.78099,-8.355
309,4.04998,11.78099,-8.355,1.46383,0.79909,14.907
310,1.46383,0.79909,14.907,-3.98983,13.77553,-4.395
311,-3.98983,13.77553,-4.395,1.46383,0.79909,14.907
312,1.46383,0.79909,14.907,14.18715,3.99885,-2.781
313,14.18715,3.99885,-2.781,1.46383,0.79909,14.907
314,1.46383,0.79909,14.907,9.08431,-7.11359,-9.585
315,9.08431,-7.11359,-9.585,1.46383,0.79909,14.907
316,1.46383,0.79909,14.907,3.80936,14.45523,-1.239
317,3.80936,14.45523,-1.239,1.46383,0.79909,14.907
318,1.46383,0.79909,14.907,4.06417,14.28495,-2.103
319,4.06417,14.28495,-2.103,1.46383,0.79909,14.907
320,-0.55669,-1.62797,14.901,10.61088,10.45806,-1.743
321,10.61088,10.45806,-1.743,-0.55669,-1.62797,14.901
322,-0.55669,-1.62797,14.901,11.8341,1.03286,-9.159
323,11.8341,1.03286,-9.159,-0.55669,-1.62797,14.901
324,-0.55669,-1.62797,14.901,0.4815,-11.78048,-9.273
325,0.4815,-11.78048,-9.273,-0.55669,-1.62797,14.901
326,-0.55669,-1.62797,14.901,-0.59207,3.22609,-14.637
327,-0.59207,3.22609,-14.637,-0.55669,-1.62797,14.901
328,-0.55669,-1.62797,14.901,4.04998,11.78099,-8.355
329,4.04998,11.78099,-8.355,-0.55669,-1.62797,14.901
330,-0.55669,-1.62797,14.901,-3.98983,13.77553,-4.395
331,-3.98983,13.77553,-4.395,-0.55669,-1.62797,14.901
332,-0.55669,-1.62797,14.901,14.18715,3.99885,-2.781
333,14.18715,3.99885,-2.781,-0.55669,-1.62797,14.901
334,-0.55669,-1.62797,14.901,9.08431,-7.11359,-9.585
335,9.08431,-7.11359,-9.585,-0.55669,-1.62797,14.901
336,-0.55669,-1.62797,14.901,3.80936,14.45523,-1.239
